0;1;2;3;4;5;6;7;8;9;10;11;12
-0,7849;497,8;5;0,7;104;0;0,846;0;1;2023;9;1;436,69
-0,8655;500,6;5;0,7;104;3;1,000;0;1;2023;9;2;439,37
-1;472,4;1;0,7;104;3;0,308;0;1;2023;9;3;427,36
-1;429,7;2;0,7;104;0;0,308;0;1;2023;9;4;374,63
-0,9351;442,8;3;0,7;104;0;0,385;0;1;2023;9;5;376,97
;;3;0,7;104;0;0,769;2;1;2023;9;6;400,62
;;4;0,7;104;3;0,769;2;1;2023;9;7;416,03
;;5;0,7;104;3;1,000;2;1;2023;9;8;435,4
