,sales_rate_comparison,avg_rate_compt,weekday_sazonality_guh,occup_competitors,imat_sp,event_sazonality_guh
2022-12-07,-60.40%,426.80,3,0.5466,1.0090000000000001,0
2022-12-08,-75.65%,416.41,4,0.5466,1.0090000000000001,0
2022-12-09,-78.38%,398.35,5,0.5466,1.0090000000000001,0
2022-12-10,-59.32%,359.72,5,0.5466,1.0090000000000001,0
2022-12-11,-71.68%,367.08,1,0.5466,1.0090000000000001,0
2022-12-12,-74.40%,415.82,2,0.5466,1.0090000000000001,0
2022-12-13,-82.98%,419.92,3,0.5466,1.0090000000000001,3
2022-12-14,-76.74%,401.87,3,0.5466,1.0090000000000001,3
2022-12-15,-77.14%,373.41,4,0.5466,1.0090000000000001,0
2022-12-16,-78.57%,402.62,5,0.5466,1.0090000000000001,0
2022-12-17,-45.76%,418.24,5,0.5466,1.0090000000000001,0
2022-12-18,-71.68%,419.95,1,0.5466,1.0090000000000001,0
2022-12-19,-56.92%,448.11,2,0.5466,1.0090000000000001,0
2022-12-20,-56.76%,313.89,3,0.5466,1.0090000000000001,0
2022-12-21,-66.10%,381.20,3,0.5466,1.0090000000000001,0
2022-12-22,-51.30%,376.77,4,0.5466,1.0090000000000001,0
2022-12-23,-37.98%,386.70,5,0.5466,1.0090000000000001,0
2022-12-24,-57.45%,386.05,5,0.5466,1.0090000000000001,0
2022-12-25,-63.30%,389.18,1,0.5466,1.0090000000000001,0
2022-12-26,-62.35%,365.68,2,0.5466,1.0090000000000001,0
2022-12-27,-50.77%,406.24,3,0.5466,1.0090000000000001,0
2022-12-28,-54.02%,432.48,3,0.5466,1.0090000000000001,0
2022-12-29,-25.93%,429.76,4,0.5466,1.0090000000000001,0
2022-12-30,-49.55%,386.98,5,0.5466,1.0090000000000001,0
2022-12-31,-62.35%,324.71,5,0.5466,1.0090000000000001,0
2023-01-01,-45.95%,380.06,1,0.5082,0.98,0
2023-01-02,-67.44%,389.51,2,0.5082,0.98,0
2023-01-03,-65.96%,355.34,3,0.5082,0.98,0
2023-01-04,-75.00%,369.26,3,0.5082,0.98,0
2023-01-05,-80.95%,375.85,4,0.5082,0.98,0
2023-01-06,-61.90%,405.03,5,0.5082,0.98,0
2023-01-07,-65.00%,467.22,5,0.5082,0.98,0
2023-01-08,-66.02%,490.03,1,0.5082,0.98,0
2023-01-09,-60.66%,471.99,2,0.5082,0.98,0
2023-01-10,-53.72%,388.13,3,0.5082,0.98,0
2023-01-11,-55.06%,330.29,3,0.5082,0.98,0
2023-01-12,-77.57%,384.20,4,0.5082,0.98,0
2023-01-13,-54.72%,439.21,5,0.5082,0.98,0
2023-01-14,-75.00%,336.69,5,0.5082,0.98,0
2023-01-15,-79.83%,360.09,1,0.5082,0.98,0
2023-01-16,-70.21%,356.91,2,0.5082,0.98,0
2023-01-17,-84.16%,370.66,3,0.5082,0.98,0
2023-01-18,-71.83%,354.02,3,0.5082,0.98,1
2023-01-19,-75.19%,377.64,4,0.5082,0.98,0
2023-01-20,-72.60%,803.79,5,0.5082,0.98,0
2023-01-21,-74.74%,782.29,5,0.5082,0.98,0
2023-01-22,-77.78%,791.14,1,0.5082,0.98,0
2023-01-23,-72.20%,609.95,2,0.5082,0.98,0
2023-01-24,-69.03%,458.96,3,0.5082,0.98,0
2023-01-25,-57.89%,444.99,3,0.5082,0.98,0
2023-01-26,-78.57%,439.20,4,0.5082,0.98,0
2023-01-27,-66.67%,466.17,5,0.5082,0.98,0
2023-01-28,-76.92%,449.26,5,0.5082,0.98,0
2023-01-29,-73.83%,446.06,1,0.5082,0.98,0
2023-01-30,-71.17%,391.55,2,0.5082,0.98,0
2023-01-31,-54.72%,449.95,3,0.5082,0.98,0
2023-02-01,-54.29%,493.75,3,0.5661999999999999,0.9440000000000001,0
2023-02-02,-69.23%,502.96,4,0.5661999999999999,0.9440000000000001,0
2023-02-03,-69.47%,477.52,5,0.5661999999999999,0.9440000000000001,0
2023-02-04,-81.92%,456.53,5,0.5661999999999999,0.9440000000000001,0
2023-02-05,-95.38%,474.95,1,0.5661999999999999,0.9440000000000001,0
2023-02-06,-87.10%,385.68,2,0.5661999999999999,0.9440000000000001,0
2023-02-07,-76.47%,408.05,3,0.5661999999999999,0.9440000000000001,0
2023-02-08,-72.73%,441.36,3,0.5661999999999999,0.9440000000000001,0
2023-02-09,-36.00%,430.22,4,0.5661999999999999,0.9440000000000001,0
2023-02-10,-90.64%,417.38,5,0.5661999999999999,0.9440000000000001,0
2023-02-11,-79.49%,484.88,5,0.5661999999999999,0.9440000000000001,0
2023-02-12,-100.00%,485.10,1,0.5661999999999999,0.9440000000000001,0
2023-02-13,-45.45%,560.52,2,0.5661999999999999,0.9440000000000001,0
2023-02-14,-87.97%,422.93,3,0.5661999999999999,0.9440000000000001,0
2023-02-15,-90.80%,437.76,3,0.5661999999999999,0.9440000000000001,0
2023-02-16,-65.22%,535.19,4,0.5661999999999999,0.9440000000000001,0
2023-02-17,-71.43%,525.54,5,0.5661999999999999,0.9440000000000001,0
2023-02-18,-73.77%,513.22,5,0.5661999999999999,0.9440000000000001,0
2023-02-19,-89.57%,464.85,1,0.5661999999999999,0.9440000000000001,0
2023-02-20,-93.22%,445.49,2,0.5661999999999999,0.9440000000000001,0
